Date,Product_Name,Category,Forecast_Sales,Expected_Revenue,Expected_Cost,Expected_Gross_Margin,Expected_Margin_Percentage,Final_Model,Final_MAPE,Demand_Level,Margin_Band,Risk_Level,Inventory_Action,Priority_Score,Safety_Stock,Reorder_Point,Recommendation
2026-01-01,CNC Machine Parts,CNC,1635.76,4288929.99,2906153.22,1382776.77,32.24,ARIMAX,3.74,High,High Margin,Low Risk,Increase Production,1210.4,574.81,1832.62,Increase Production
2026-02-01,CNC Machine Parts,CNC,1635.95,4289432.14,2906493.47,1382938.67,32.24,ARIMAX,3.74,High,High Margin,Low Risk,Increase Production,1210.4,574.81,1832.62,Increase Production
2026-03-01,CNC Machine Parts,CNC,1637.13,4292540.63,2908599.77,1383940.87,32.24,ARIMAX,3.74,High,High Margin,Low Risk,Increase Production,1210.4,574.81,1832.62,Increase Production
2026-04-01,CNC Machine Parts,CNC,1586.27,4159170.44,2818228.93,1340941.51,32.24,ARIMAX,3.74,High,High Margin,Low Risk,Increase Production,1210.4,574.81,1832.62,Increase Production
2026-05-01,CNC Machine Parts,CNC,1587.42,4162183.73,2820270.71,1341913.02,32.24,ARIMAX,3.74,High,High Margin,Low Risk,Increase Production,1210.4,574.81,1832.62,Increase Production
2026-06-01,CNC Machine Parts,CNC,1640.58,4301576.59,2914722.48,1386854.11,32.24,ARIMAX,3.74,High,High Margin,Low Risk,Increase Production,1210.4,574.81,1832.62,Increase Production
2026-07-01,CNC Machine Parts,CNC,1649.37,4324620.92,2930337.18,1394283.74,32.24,ARIMAX,3.74,High,High Margin,Low Risk,Increase Production,1210.4,574.81,1832.62,Increase Production
2026-08-01,CNC Machine Parts,CNC,1650.52,4327634.07,2932378.87,1395255.2,32.24,ARIMAX,3.74,High,High Margin,Low Risk,Increase Production,1210.4,574.81,1832.62,Increase Production
2026-09-01,CNC Machine Parts,CNC,1651.67,4330647.22,2934420.56,1396226.66,32.24,ARIMAX,3.74,High,High Margin,Low Risk,Increase Production,1210.4,574.81,1832.62,Increase Production
2026-10-01,CNC Machine Parts,CNC,1693.26,4439705.49,3008317.79,1431387.7,32.24,ARIMAX,3.74,High,High Margin,Low Risk,Increase Production,1210.4,574.81,1832.62,Increase Production
2026-11-01,CNC Machine Parts,CNC,1694.41,4442718.64,3010359.49,1432359.16,32.24,ARIMAX,3.74,High,High Margin,Low Risk,Increase Production,1210.4,574.81,1832.62,Increase Production
2026-12-01,CNC Machine Parts,CNC,1647.48,4319655.49,2926972.63,1392682.86,32.24,ARIMAX,3.74,High,High Margin,Low Risk,Increase Production,1210.4,574.81,1832.62,Increase Production
2026-01-01,CNC Parts Assembly,CNC,1562.24,4601148.27,3118081.79,1483066.48,32.23,ARIMA,7.18,Moderate,High Margin,Moderate Risk,Maintain Production,1038.67,598.05,1913.3,Maintain Production
2026-02-01,CNC Parts Assembly,CNC,1566.46,4613573.06,3126501.76,1487071.3,32.23,ARIMA,7.18,Moderate,High Margin,Moderate Risk,Maintain Production,1038.67,598.05,1913.3,Maintain Production
2026-03-01,CNC Parts Assembly,CNC,1564.8,4608702.14,3123200.86,1485501.28,32.23,ARIMA,7.18,Moderate,High Margin,Moderate Risk,Maintain Production,1038.67,598.05,1913.3,Maintain Production
2026-04-01,CNC Parts Assembly,CNC,1565.45,4610611.7,3124494.92,1486116.78,32.23,ARIMA,7.18,Moderate,High Margin,Moderate Risk,Maintain Production,1038.67,598.05,1913.3,Maintain Production
2026-05-01,CNC Parts Assembly,CNC,1565.2,4609863.09,3123987.61,1485875.49,32.23,ARIMA,7.18,Moderate,High Margin,Moderate Risk,Maintain Production,1038.67,598.05,1913.3,Maintain Production
2026-06-01,CNC Parts Assembly,CNC,1565.3,4610156.57,3124186.49,1485970.08,32.23,ARIMA,7.18,Moderate,High Margin,Moderate Risk,Maintain Production,1038.67,598.05,1913.3,Maintain Production
2026-07-01,CNC Parts Assembly,CNC,1565.26,4610041.52,3124108.52,1485933.0,32.23,ARIMA,7.18,Moderate,High Margin,Moderate Risk,Maintain Production,1038.67,598.05,1913.3,Maintain Production
2026-08-01,CNC Parts Assembly,CNC,1565.27,4610086.62,3124139.09,1485947.53,32.23,ARIMA,7.18,Moderate,High Margin,Moderate Risk,Maintain Production,1038.67,598.05,1913.3,Maintain Production
2026-09-01,CNC Parts Assembly,CNC,1565.27,4610068.94,3124127.1,1485941.84,32.23,ARIMA,7.18,Moderate,High Margin,Moderate Risk,Maintain Production,1038.67,598.05,1913.3,Maintain Production
2026-10-01,CNC Parts Assembly,CNC,1565.27,4610075.87,3124131.8,1485944.07,32.23,ARIMA,7.18,Moderate,High Margin,Moderate Risk,Maintain Production,1038.67,598.05,1913.3,Maintain Production
2026-11-01,CNC Parts Assembly,CNC,1565.27,4610073.15,3124129.96,1485943.19,32.23,ARIMA,7.18,Moderate,High Margin,Moderate Risk,Maintain Production,1038.67,598.05,1913.3,Maintain Production
2026-12-01,CNC Parts Assembly,CNC,1565.27,4610074.22,3124130.68,1485943.54,32.23,ARIMA,7.18,Moderate,High Margin,Moderate Risk,Maintain Production,1038.67,598.05,1913.3,Maintain Production
2026-01-01,Front Bumper Tractor,Tractor,1292.94,2272967.14,1632654.11,640313.02,28.17,SARIMA,9.455,Low,High Margin,Moderate Risk,Controlled Inventory,896.99,595.68,1586.84,Controlled Inventory
2026-02-01,Front Bumper Tractor,Tractor,1197.75,2105611.65,1512444.0,593167.64,28.17,SARIMA,9.455,Low,High Margin,Moderate Risk,Controlled Inventory,896.99,595.68,1586.84,Controlled Inventory
2026-03-01,Front Bumper Tractor,Tractor,1424.82,2504797.8,1799176.23,705621.58,28.17,SARIMA,9.455,Low,High Margin,Moderate Risk,Controlled Inventory,896.99,595.68,1586.84,Controlled Inventory
2026-04-01,Front Bumper Tractor,Tractor,1602.53,2817211.11,2023580.2,793630.9,28.17,SARIMA,9.455,Low,High Margin,Moderate Risk,Controlled Inventory,896.99,595.68,1586.84,Controlled Inventory
2026-05-01,Front Bumper Tractor,Tractor,1548.19,2721675.25,1954957.56,766717.69,28.17,SARIMA,9.455,Low,High Margin,Moderate Risk,Controlled Inventory,896.99,595.68,1586.84,Controlled Inventory
2026-06-01,Front Bumper Tractor,Tractor,1103.94,1940706.1,1393993.67,546712.43,28.17,SARIMA,9.455,Low,High Margin,Moderate Risk,Controlled Inventory,896.99,595.68,1586.84,Controlled Inventory
2026-07-01,Front Bumper Tractor,Tractor,1036.77,1822625.89,1309177.6,513448.29,28.17,SARIMA,9.455,Low,High Margin,Moderate Risk,Controlled Inventory,896.99,595.68,1586.84,Controlled Inventory
2026-08-01,Front Bumper Tractor,Tractor,911.3,1602039.51,1150732.16,451307.34,28.17,SARIMA,9.455,Low,High Margin,Moderate Risk,Controlled Inventory,896.99,595.68,1586.84,Controlled Inventory
2026-09-01,Front Bumper Tractor,Tractor,973.5,1711382.17,1229272.12,482110.04,28.17,SARIMA,9.455,Low,High Margin,Moderate Risk,Controlled Inventory,896.99,595.68,1586.84,Controlled Inventory
2026-10-01,Front Bumper Tractor,Tractor,1241.96,2183341.77,1568276.93,615064.84,28.17,SARIMA,9.455,Low,High Margin,Moderate Risk,Controlled Inventory,896.99,595.68,1586.84,Controlled Inventory
2026-11-01,Front Bumper Tractor,Tractor,1334.39,2345825.94,1684988.01,660837.93,28.17,SARIMA,9.455,Low,High Margin,Moderate Risk,Controlled Inventory,896.99,595.68,1586.84,Controlled Inventory
2026-12-01,Front Bumper Tractor,Tractor,1078.39,1895783.91,1361726.42,534057.49,28.17,SARIMA,9.455,Low,High Margin,Moderate Risk,Controlled Inventory,896.99,595.68,1586.84,Controlled Inventory
2026-01-01,Linkage Pins,Tractor,1681.16,2697239.26,1937873.61,759365.64,28.15,SARIMA,5.111,Moderate,Moderate Margin,Moderate Risk,Maintain Production,1236.73,685.04,1863.94,Maintain Production
2026-02-01,Linkage Pins,Tractor,1647.93,2643936.88,1899577.69,744359.19,28.15,SARIMA,5.111,Moderate,Moderate Margin,Moderate Risk,Maintain Production,1236.73,685.04,1863.94,Maintain Production
2026-03-01,Linkage Pins,Tractor,1784.85,2863606.48,2057402.74,806203.74,28.15,SARIMA,5.111,Moderate,Moderate Margin,Moderate Risk,Maintain Production,1236.73,685.04,1863.94,Maintain Production
2026-04-01,Linkage Pins,Tractor,1928.47,3094032.19,2222955.69,871076.5,28.15,SARIMA,5.111,Moderate,Moderate Margin,Moderate Risk,Maintain Production,1236.73,685.04,1863.94,Maintain Production
2026-05-01,Linkage Pins,Tractor,1763.51,2829374.42,2032808.18,796566.24,28.15,SARIMA,5.111,Moderate,Moderate Margin,Moderate Risk,Maintain Production,1236.73,685.04,1863.94,Maintain Production
2026-06-01,Linkage Pins,Tractor,1485.2,2382843.78,1711991.28,670852.5,28.15,SARIMA,5.111,Moderate,Moderate Margin,Moderate Risk,Maintain Production,1236.73,685.04,1863.94,Maintain Production
2026-07-01,Linkage Pins,Tractor,1494.12,2397161.45,1722278.04,674883.42,28.15,SARIMA,5.111,Moderate,Moderate Margin,Moderate Risk,Maintain Production,1236.73,685.04,1863.94,Maintain Production
2026-08-01,Linkage Pins,Tractor,1265.64,2030591.76,1458910.32,571681.44,28.15,SARIMA,5.111,Moderate,Moderate Margin,Moderate Risk,Maintain Production,1236.73,685.04,1863.94,Maintain Production
2026-09-01,Linkage Pins,Tractor,1364.82,2189702.73,1573226.08,616476.65,28.15,SARIMA,5.111,Moderate,Moderate Margin,Moderate Risk,Maintain Production,1236.73,685.04,1863.94,Maintain Production
2026-10-01,Linkage Pins,Tractor,1620.46,2599864.75,1867913.38,731951.37,28.15,SARIMA,5.111,Moderate,Moderate Margin,Moderate Risk,Maintain Production,1236.73,685.04,1863.94,Maintain Production
2026-11-01,Linkage Pins,Tractor,1670.58,2680269.52,1925681.44,754588.08,28.15,SARIMA,5.111,Moderate,Moderate Margin,Moderate Risk,Maintain Production,1236.73,685.04,1863.94,Maintain Production
2026-12-01,Linkage Pins,Tractor,1628.55,2612837.86,1877234.12,735603.75,28.15,SARIMA,5.111,Moderate,Moderate Margin,Moderate Risk,Maintain Production,1236.73,685.04,1863.94,Maintain Production
2026-01-01,Tractor Front Axle Bracket,Tractor,2026.4,3550080.38,2551454.15,998626.23,28.13,SARIMA,3.289,High,High Margin,Low Risk,Increase Production,1482.58,870.44,2416.77,Increase Production
2026-02-01,Tractor Front Axle Bracket,Tractor,2208.91,3869814.16,2781247.85,1088566.31,28.13,SARIMA,3.289,High,High Margin,Low Risk,Increase Production,1482.58,870.44,2416.77,Increase Production
2026-03-01,Tractor Front Axle Bracket,Tractor,2255.15,3950834.74,2839477.6,1111357.14,28.13,SARIMA,3.289,High,High Margin,Low Risk,Increase Production,1482.58,870.44,2416.77,Increase Production
