Date,Product_Name,Category,Monthly_Sales,Unit_Price,Revenue,Rainfall_Index,Industrial_Index,Diesel_Price,Steel_Price,Govt_Subsidy_Flag,Festival_Flag,Estimated_Unit_Cost,Total_Cost,Gross_Margin,Margin_Percentage
2020-02-01,CNC Machine Parts,CNC,448,2212.24,991085.68,123.53,101.54,64.75,52.65,0,0,1426.496624971007,639070.4879870111,352015.19201298896,35.5181392604713
2020-03-01,CNC Machine Parts,CNC,437,2206.07,964051.73,131.16,104.54,63.64,51.41,0,0,1417.545904124768,619467.5601025237,344584.1698974763,35.743327787760556
2020-04-01,CNC Machine Parts,CNC,169,2209.57,373417.07,120.61,104.23,68.23,52.11,1,0,1427.139878405046,241186.63945045276,132230.43054954725,35.410922845478716
2020-05-01,CNC Machine Parts,CNC,155,3169.31,491243.54,102.74,110.07,65.77,47.66,1,0,2023.8914235350069,313703.17064792605,177540.36935207393,36.14100846029933
2020-06-01,CNC Machine Parts,CNC,513,3157.54,1619816.85,92.57,110.11,67.04,45.31,0,0,2008.4026751174433,1030310.5723352485,589506.2776647516,36.39339087408256
2020-07-01,CNC Machine Parts,CNC,760,3144.29,2389663.29,79.03,111.76,68.25,42.66,0,0,1990.660646680454,1512902.091477145,876761.1985228551,36.689737930520536
2020-08-01,CNC Machine Parts,CNC,717,2068.68,1483240.8,72.77,111.67,67.49,41.94,0,0,1306.8573646600053,937016.7304612237,546224.0695387763,36.826391880453684
2020-09-01,CNC Machine Parts,CNC,616,2044.08,1259154.99,68.64,112.38,68.32,37.02,0,0,1278.5758783008775,787602.7410333406,471552.2489666594,37.44989717005842
2020-10-01,CNC Machine Parts,CNC,837,2076.3,1737859.56,74.24,113.19,67.99,43.46,1,1,1316.4824868461653,1101895.8414902403,635963.7185097598,36.594655468578814
2020-11-01,CNC Machine Parts,CNC,1030,3193.08,3288876.06,91.37,114.71,66.85,46.02,1,1,2033.764481840775,2094777.4162959983,1194098.6437040018,36.307194978457225
2020-12-01,CNC Machine Parts,CNC,1103,3199.9,3529494.07,105.98,117.92,68.92,47.38,0,0,2047.430788445389,2258316.159655264,1271177.9103447357,36.01586757573829
